Last name,First name,Birth year,Death year,Genre,Nationality,Gender
Abe,Komei,1911,2006,Neoclassical,Japanese,Male
Adam,Adolphe,1803,1856,Romantic,French,Male
Adams,John,1947,Still living,Classical,American,Male
Adès,Thomas,1971,Still living,Classical,British,Male
Aho,Kalevi,1949,Still living,Modern,Finnish,Male
Akpabot,Samuel,1932,2000,Modern,Nigerian,Male
Alain,Jehan,1911,1940,Modern,French,Male
Albéniz,Isaac,1860,1909,Romantic,Spanish,Male
Albert,Eugen d',1864,1932,Romantic,Scottish,Male
Albinoni,Tomaso,1671,1751,Baroque,Italian,Male
Albrechtsberger,Johann Georg,1736,1809,Classical,Austrian,Male
Alfano,Franco,1875,1954,Classical,,Male
Alfvén,Hugo,1872,1960,Classical,,Male
Alkan,Charles-Valentin,1813,1888,Classical,,Male
Allegri,Gregorio,1582,1652,Classical,,Male
Alwyn,William,1905,1985,Modern,English,Male
Al-Zand,Karim,1970,Still living,Modern,Canadian-American,Male
Andriessen,Louis,1939,Still living,Modern,Dutch,Male
Avison,Charles,1709,1770,Classical,English,Male
Alwyn,William,1905,1985,Classical,,Male
Anderson,Leroy,1908,1975,Classical,,Male
Andreae,Volkmar,1879,1962,Romantic,Swiss,Male
Aragón,Emilio,1959,Still living,Classical,,Male
Arensky,Anton,1861,1906,Romantic,Russian,Male
Arne,Thomas,1710,1778,Classical,English,Male
Arnell,Richard,1917,Still living,Classical,,Male
Arnold,Malcolm,1921,2006,Classical,,Male
Arriaga,Juan,1806,1826,Classical,,Male
Auber,Daniel,1782,1871,Romantic,French,Male
Aufschnaiter,Benedikt Anton,1665,1731,Baroque,Austrian,Male
Auric,Georges,1899,1983,Classical,,Male
Avison,Charles,1709,1770,Classical,,Male
Bach,Carl Philipp Emanuel,1714,1788,Classical,,Male
Bach,Johann Christian,1735,1782,Classical,German,Male
Bach,Johann Christoff Friedrich,1732,1795,Classical,,Male
Bach,Johann Ludwig,1677,1731,Baroque,German,Male
Bach,Johann Michael,1745,1820,Classical,,Male
Bach,Johann Sebastian,1685,1750,Baroque,German,Male
Bach,Wilhelm Friedemann,1710,1784,Classical,,Male
Badings,Henk,1907,1987,Classical,,Male
Baermann,Heinrich,1784,1847,Classical,,Male
Baines,William,1899,1922,Classical,,Male
Bainton,Edgar,1880,1956,Classical,,Male
Bairstow,Edward,1874,1946,Classical,,Male
Balakirev,Mily,1837,1910,Classical,,Male
Baldassare,Pietro,c1683,after 1768,Baroque,Italian,Male
Bantock,Granville,1868,1946,Classical,,Male
Barber,Samuel,1910,1981,Modern,American,Male
Barrios,Agustin,1885,1944,Classical,,Male
Bartók,Béla,1881,1945,Modern,Hungarian,Male
Bax,Arnold,1883,1953,Classical,,Male
Beach,Amy,1867,1944,Romantic,American,Female
Beck,Franz Ignaz,,,Classical,,Male
Beethoven,Ludwig van,1770,1827,Classical,German,Male
Bellini,Vincenzo Salvatore Carmelo Francesco,1801,1835,Bel canto,Italian,Male
Benjamin,Arthur,1893,1960,Classical,,Male
Bennett,Richard Rodney,1936,Still living,Classical,,Male
Bennett,William Sterndale,1816,1875,Classical,,Male
Bentzon,Niels Viggo,1919,2000,Classical,,Male
Berg,Alban,1885,1935,Modern,Austrian,Male
Berio,Luciano,1925,2003,Modern,Italian,Male
Bériot,Charles-Auguste de,1802,1870,Classical,,Male
Berkeley,Lennox,1903,1989,Classical,,Male
Berkeley,Michael,1948,Still living,Classical,,Male
Berlioz,Louis-Hector,1803,1869,Romantic,French,Male
Berners,Lord,1883,1950,Classical,,Male
Bernstein,Leonard,1918,1990,Classical,American,Male
Bertali,Antonio,1605,1669,Baroque,Italian,Male
Berwald,Franz,1796,1868,Classical,,Male
Biber,Heinrich,1644,1704,Classical,,Male
Binge,Ronald,1910,1979,Classical,,Male
Bingen,Hildegard of,1098,1179,Medieval,German,Female
Birtwistle,Harrison,1934,Still living,Modern,English,Male
Bizet,Georges,1838,1875,Romantic,French,Male
Blake,Howard,1938,Still living,Classical,,Male
Bliss,Arthur,1891,1975,Classical,English,Male
Bloch,Ernest,1880,1959,Classical,Swiss-American,Male
Blow,John,1649,1708,Classical,,Male
Blumer,Theodor,1881,1964,Classical,,Male
Boccherini,Luigi,1743,1805,Classical,Italian-Spanish,Male
Boïeldieu,François,1775,1834,Classical,,Male
Boito,Arrigo,1842,1918,Classical,,Male
Bologne,Joseph,1745,1799,Classical,French,Male
Bonds,Margaret Allison,1913,1972,Modern,American,Female
Borodin,Alexander,1833,1887,Romantic,Russian,Male
Bortkiewicz,Sergei,1877,1952,Classical,,Male
Bottesini,Giovanni,1821,1889,Romantic,Italian,Male
Boughton,Rutland,1878,1960,Classical,,
Boulanger,Lili,1893,1918,Classical,,Female
Boulanger,Nadia,1887,1979,Classical,,Female
Boulez,Pierre,1925,2016,Classical,French,Male
Bowen,York,1884,1961,Romantic,English,Male
Boyce,William,1711,1779,Classical,,Male
Brahms,Johannes,1833,1897,Classical,German,Male
Bresnick,Martin,1946,Still living,Modern,American,Male
Brian,Havergal,1876,1972,Classical,,Male
Bridge,Frank,1879,1941,Classical,,Male
Bristow,George Frederick,1825,1898,Romantic,American,Male
Britten,Benjamin,1913,1976,Modern,English,Male
Brouwer,Leo,1939,Still living,Modern,Cuban,Male
Browne,John,1490,Unknown,Classical,,Male
Bruch,Max,1838,1920,Classical,,Male
Bruckner,Anton,1824,1896,Classical,Austrian,Male
Brumel,Antoine,1460,1520,Classical,,Male
Brusa,Elisabetta,1954,Still living,Classical,,Female
Bull,John,1562,1628,Classical,English,Male
Buonamente,Giovanni Battista,1595,1642,Baroque,Italian,Male
Burgon,Geoffrey,1941,Still living,Classical,,Male
Busch,William,1901,1945,Classical,,Male
Bush,Alan,1900,1995,Classical,,Male
Bush,Geoffrey,1920,Still living,Classical,,Male
Busoni,Ferruccio,1866,1924,Classical,,Male
Butterworth,Arthur,1923,2014,Modern,English,Male
Butterworth,George,1885,1916,Classical,,Male
Buxtehude,Dietrich,1637,1707,Classical,,Male
Byrd,William,1543,1623,Renaissance,English,Male
Cage,John,1912,1992,Classical,,Male
Camilleri,Charles,1931,Still living,Classical,,Male
Campion,Thomas,1567,1620,Classical,,Male
Cannabich,Johann,1731,1798,Classical,German,Male
Canteloube,Marie-Joseph,1879,1957,Classical,,
Capers,Valerie,1935,Still living,Jazz,American,
Caplet,André,1878,1925,Classical,,Male
Carvalho,João de Sousa,1745,1798,Classical,Portuguese,Male
Cardoso,Frei Manuel,1566,1650,Classical,,Male
Carissimi,Giacomo,1605,1674,Classical,,Male
Carlsson,Mark,1952,Still living,Classical,,Male
Carpenter,John Alden,1876,1951,Classical,,Male
Carter,Elliott,1908,Still living,Classical,American,Male
Carwithen,Doreen,1922,2003,Classical,,Female
Casella,Alfredo,1883,1947,Classical,,Male
Castelnuovo-Tedesco,Mario,1895,1968,Modern,Italian,Male
Catalani,Alfredo,1854,1893,Classical,,Male
Catillon,Alexis de,1838,1873,Classical,,Male
Cavalli,Francesco,1602,1676,Classical,,Male
Chabrier,Emmanuel,1841,1894,Classical,,Male
Chadwick,George,1854,1931,Classical,,Male
Chagrin,Francis,1905,1972,Classical,,Male
Chaminade,Cécile Louise,1857,1944,Romantic,French,Female
Charpentier,Gustave,1860,1956,Classical,,Male
Charpentier,Marc-Antoine,1643,1704,Classical,,Male
Chausson,Ernest,1855,1899,Classical,,Male
Cherubini,Luigi,1760,1842,Classical,,Male
Chilcott,Bob,1955,Still living,Classical,,Male
Chisolm,Erik,1904,1965,Classical,,Male
Chopin,Frédéric,1810,1849,Romantic,Polish,Male
Cilea,Francesco,1866,1950,Classical,,Male
Cimarosa,Domenico,1749,1801,Classical,Italian,Male
Clemens Non Papa,Jacob,1510,1555,Classical,,Male
Clementi,Muzio,1752,1832,Classical,,Male
Cliffe,Frederic,1857,1931,Classical,,Male
Clifford,Hubert,1904,1959,Classical,,Male
Coates,Eric,1886,1957,Modern,English,Male
Colbran,Isabella,1785,1845,Bel canto,Spanish,Female
Coleridge-Taylor,Avril,1903,1998,Modern,English,Female
Coleridge-Taylor,Samuel,1875,1912,Romantic,English,Male
Collins,Anthony,1893,1963,Classical,,Male
Confrey,Edward,1895,1971,Classical,,Male
Cooke,Arnold,1906,2005,Classical,,Male
Copland,Aaron,1900,1990,Modern,American,Male
Cordero,Roque,1917,2008,Modern,Panamanian,Male
Corelli,Arcangelo,1653,1713,Baroque,Italian,Male
Corigliano,John,1938,Still living,Classical,United States,Male
Cornysh,William,1468,1523,Classical,,Male
Couperin,Armand-Louis,1725,1789,Classical,,Male
Couperin,François,1668,1733,Baroque,,Male
Couperin,Louis,1626,1661,Baroque,,Male
Couperin,Marc Roger,1663,1734,Baroque,,Male
Cowell,Henry,1897,1965,Classical,,Male
Creston,Paul,1906,1985,Classical,,Male
Cristo,Pedro de,1550,1618,Classical,,Male
Crosse,Gordon,1937,Still living,Classical,,Male
Cummings,Richard,1928,Still living,Classical,,Male
Curzon,Frederick,1899,1973,Classical,,Male
D'Astorga,Emanuele,1680,1757,Classical,,
Delius,Frederick Theodore Albert,1862,1934,Modern,English,Male
D'India,Sigismondo,1582,1630,Classical,,Male
Damase,Jean-Michel,1928,Still living,Classical,,Male
Danzi,Franz,1763,1826,Classical,,Male
da Palestrina,Giovanni Pierluigi,1525,1594,Renaissance,Italian,Male
Daquin,Louis-Claude,1694,1772,Classical,,Male
Darnton,Christian,1905,1981,Classical,,Male
Davies,Sir Henry Walford,1869,1941,Classical,,Male
Davis,Carl,1936,Still living,Classical,,Male
Debussy,Claude,1862,1918,Impressionist,French,Male
Decaux,Abel,1869,1943,Classical,,Male
de Laporta,Isidro,1750,1808,Classical,Spanish,Male
Del Tredici,David,1937,Still living,Classical,,Male
Delage,Maurice,1879,1961,Classical,,Male
Delalande,Michel Richard,1657,1726,Baroque,French,Male
Delibes,Léo,1836,1891,Romantic,French,Male
Delius,Frederick,1862,1934,Modern,English,Male
des Prez,Josquin,1455,1521,Renaissance,French,Male
de Victoria,Tomás Luis,1548,1611,Renaissance,Spanish,Male
